cohort_obs_dt,segment_calibration,consolidated_id,default_first_in_12M_dt,pd_model_class,pd_model_pct,pd_decided_class,pd_decided_pct,issued_or_outstanding_amt_EUR,granted_amt_EUR,EaD_amt_EUR,RWA_amt_EUR,default_flg,Validation_sample
12/31/2022,CORP,29036161,,3,0.002946,3,0.002946,0,350000,262500,105194,0,1
12/31/2022,CORP,94224060,,7,0.0453,7,0.0453,771561,784175.3,781021.75,640173.61,0,1
12/31/2022,CORP,70348554,,4,0.0042,4,0.0042,59830.8,199999.99,95000,52313.622,0,1
12/31/2022,CORP,82216631,,5,0.0085,5,0.0085,663192.68,1299999.68,501042.576,353899.25,0,1
12/31/2022,CORP,35836761,,6,0.0226,6,0.0226,337374.3,500000.1,100000.03,81753.97,0,1
12/31/2022,CORP,75622898,,4,0.0043,4,0.0043,39771.7,39771.7,7954.33,3359.89,0,1
12/31/2022,CORP,42799161,,4,0.0043,4,0.0043,2445144.2,4166919.9,3736475.7,1986290.4,0,1
12/31/2022,CORP,27919293,,5,0.0116,5,0.0116,227070,409888.8,364184.2,267328.5,0,1
12/31/2022,CORP,24487843,,5,0.0121,5,0.0121,7509216,8668943,8379011,6460478.11,0,1
12/31/2022,CORP,36870325,,1,0.0007,3,0.0028,41828503,41828503,39997607,,0,1
12/31/2022,CORP,42389018,,5,0.008,5,0.008,1929983.1,2529983.1,2379983.1,1774932.7,0,1
12/31/2022,CORP,23477058,,9,0.3422,7,0.0453,477268,477268,477268,502969,0,1
